firmeza_predict,firmeza_real
134.25150000000002,139.6
138.47700000000003,139.9
104.094,146.0
139.253,143.35
127.11600000000004,114.75
133.651,140.6
142.06049999999988,159.7
136.07150000000007,157.0
128.1550000000001,149.15
132.46700000000004,155.25
141.48449999999994,143.05
138.67349999999993,152.75
138.69999999999993,120.65
36.330999999999975,124.35
137.42100000000002,149.9
141.4875,137.0
144.41450000000003,173.85
138.658,162.9
144.3785000000001,133.25
133.44549999999998,149.2
144.8665,151.75
129.80000000000007,114.45
144.23600000000005,153.7
132.38299999999992,121.0
137.46550000000008,134.15
136.12450000000004,121.15
131.07750000000004,152.0
137.60550000000003,120.9
128.42550000000006,129.35
135.722,144.1
91.282,141.2
133.22599999999997,139.65
142.74599999999995,131.95
132.6315,144.15
20.52599999999996,142.5
134.23650000000004,129.25
140.70900000000006,140.95
135.08900000000003,124.65
135.24450000000004,117.3
138.77400000000006,153.35
140.45550000000006,141.65
133.95800000000006,158.5
139.0500000000001,121.6
147.58150000000006,137.9
136.36099999999993,117.05
144.9175000000001,156.1
132.28399999999993,136.8
21.8365,130.9
67.442,94.35
139.19199999999998,134.7
115.10550000000003,137.1
132.6965,152.85
130.02600000000007,136.4
148.08550000000002,112.45
140.8970000000001,129.5
133.89349999999996,130.95
140.1285,124.05
140.02649999999997,137.6
137.4705,120.15
19.870999999999988,120.0
145.534,127.55
134.35450000000003,144.05
140.77249999999995,136.3
135.15250000000006,113.75
135.0005,133.75
136.72899999999998,111.35
142.6465,148.4
134.42599999999996,137.55
129.1419999999999,148.25
130.92599999999996,130.85
132.90899999999993,124.4
135.74949999999978,131.95
139.41650000000004,139.2
129.69599999999997,135.5
136.46349999999995,116.05
140.69950000000003,121.2
48.00949999999999,64.55
136.46549999999996,150.4
136.70849999999996,165.95
99.74700000000004,108.85
137.24900000000002,129.65
149.5945000000001,113.05
138.37049999999996,134.15
137.07450000000009,123.7
140.3250000000001,118.75
130.5005,141.45
139.14400000000006,122.3
133.70100000000002,139.95
133.40450000000007,121.25
131.81350000000003,111.7
137.71899999999994,130.7
133.02950000000007,135.7
142.3975,31.5
145.0345,128.35
15.964999999999991,28.75
8.901000000000002,17.6
14.330000000000002,15.75
15.904499999999974,16.35
16.688499999999973,17.1
23.15849999999996,24.1
8.978000000000002,17.65
11.107499999999998,12.4
16.902999999999974,18.55
28.472999999999963,11.6
9.025999999999987,7.3
